x1,x2,x3,x4,y
4,6,5,7,-2.38099405
4,5,4,7,-2.102867196
4,7,6,6,-0.939791261
4,7,5,7,0.324421712
4,8,1,7,-0.206547737
3,4,5,7,-2.482131087
4,7,2,7,-0.724875055
4,6,2,6,-1.116781077
4,6,2,6,-0.674306537
4,7,1,6,-0.143337088
4,6,1,6,-0.598453758
4,6,4,7,-2.090225066
4,6,4,6,-2.279857012
3,5,1,5,-0.434106072
3,5,1,6,-0.762801445
4,5,5,8,0.42555875
5,6,7,0,-0.863938482
4,6,6,0,0.058936987
4,6,5,0,-0.863938482
4,6,5,1,-0.257116256
4,6,6,0,-0.649022277
5,7,5,7,0.84274903
5,7,5,7,-0.282400515
5,8,4,7,-0.421463942
5,6,3,7,-0.800727834
5,5,5,8,-0.826012093
4,5,5,7,-0.092768569
3,6,5,7,1.31050783
4,6,5,7,-0.547885239
4,5,7,7,-1.609824136
6,6,5,7,0.084221247
5,7,5,7,0.653117085
5,8,4,6,0.210642544
5,7,2,6,0.058936987
5,5,3,6,0.122147636
5,5,2,6,-1.382265801
5,5,4,8,-1.167349596
5,7,5,7,0.311779582
5,7,4,7,0.564622177
5,8,3,7,-0.611095888
5,7,2,6,0.830106901
5,5,1,6,0.160074025
5,5,2,7,-1.382265801
5,6,5,8,-2.785542201
4,2,6,3,0.463485139
5,7,3,7,-0.080126439
5,6,1,6,0.38763236
5,5,1,6,0.096863377
5,5,2,7,0.324421712
3,3,6,6,0.324421712
3,1,5,6,-0.092768569
3,0,5,7,0.286495323
5,6,2,6,0.88067542
5,5,1,6,0.653117085
5,5,2,6,0.994454587
4,7,1,6,0.514053658
5,9,2,6,0.450843009
4,7,1,6,0.248568933
4,5,6,0,-0.004273661
4,6,6,0,0.160074025
4,7,0,6,1.525424036
5,8,1,6,-0.598453758
6,6,3,6,0.033652728
5,5,3,6,-0.686948666
4,7,4,6,-0.130694958
4,7,4,6,0.324421712
5,7,1,6,-1.293770893
3,4,5,6,-0.04220005
4,6,6,0,-0.130694958
4,6,7,2,-0.434106072
5,6,3,6,-0.282400515
7,5,4,6,-0.560527369
5,4,4,6,0.42555875
5,6,4,6,0.071579117
5,6,3,6,0.223284674
4,6,1,6,0.653117085
4,7,5,6,-0.130694958
4,7,4,6,-0.05484218
3,5,4,6,0.286495323
3,6,6,6,0.084221247
5,5,1,6,1.33579209
5,5,3,6,-0.699590796
4,6,4,6,-0.332969034
4,5,5,7,0.514053658
4,5,8,1,2.25866756
4,7,7,1,1.7656245
5,6,4,7,-0.05484218
4,6,4,6,-0.004273661
4,6,0,6,-0.004273661
5,5,1,6,-0.118052829
3,3,6,6,-0.04220005
3,2,6,7,-0.105410699
4,2,6,6,-1.483402839
5,7,4,7,0.577264306
5,6,3,7,0.033652728
5,6,1,6,0.943886068
5,7,1,6,0.86803329
4,5,1,6,-0.092768569
4,4,2,6,-0.611095888
4,2,7,0,-0.50995885
4,2,6,0,0.096863377
5,6,5,7,0.86803329
5,7,5,8,0.273853193
5,7,4,7,1.108233755
5,6,2,7,1.361076349
6,5,4,7,0.134789766
5,5,2,7,0.38763236
5,6,5,8,-0.383537553
4,2,5,7,-0.750159315
6,6,5,7,-0.282400515
5,7,3,7,1.082949495
5,6,1,7,0.172716155
4,6,0,6,1.32314996
3,5,-1,7,-0.269758385
5,5,2,7,-2.027014417
6,5,6,8,-1.192633855
4,4,8,1,0.172716155
6,6,6,7,1.462213387
5,6,4,7,0.969170328
5,6,1,7,1.525424036
6,8,1,6,-0.004273661
5,9,1,7,-1.609824136
4,6,5,7,1.133518014
3,6,5,7,0.172716155
4,7,6,7,1.525424036
4,3,7,0,0.198000414
5,2,7,-1,0.653117085
3,2,4,-1,-0.092768569
4,4,7,-1,0.830106901
5,5,4,7,-0.750159315
6,5,4,8,-0.876580612
6,4,2,7,-0.358253293
6,6,4,7,1.234655052
5,6,5,7,0.374990231
5,6,2,6,-0.332969034
4,7,5,7,-0.585811628
5,6,3,6,0.172716155
5,6,4,6,0.691043474
5,7,5,6,0.337063841
5,7,2,6,0.817464771
5,5,6,1,0.577264306
4,6,7,3,0.741611993
6,6,4,7,0.046294858
5,5,2,6,-0.800727834
5,6,4,6,0.122147636
5,7,2,6,-0.573169499
4,5,5,6,0.160074025
5,6,5,7,1.171444403
5,7,1,8,0.134789766
5,6,-34,7,-0.49731672
5,6,2,7,-0.092768569
1,7,0,7,-0.295042645
2,8,3,6,-1.167349596
0,7,5,6,-0.838654223
0,7,4,6,-1.306413023
0,8,5,7,-0.370895423
1,7,2,7,0.311779582
0,8,2,6,0.438200879
0,6,1,6,0.198000414
0,7,1,6,-0.623738018
1,7,1,6,0.86803329
0,7,5,7,0.147431896
-1,3,4,6,-0.168621348
2,7,6,7,0.792180512
2,8,5,7,0.311779582
1,6,5,6,0.223284674
1,7,4,5,-0.092768569
1,6,4,6,-1.546613488
2,7,8,6,0.160074025
0,7,6,6,-0.155979218
1,7,5,6,-0.080126439
1,7,3,6,-0.105410699
0,6,3,6,-0.775443574
0,3,5,6,0.033652728
1,6,5,1,0.210642544
0,6,4,0,0.033652728
2,7,5,6,0.261211063
1,8,4,6,0.577264306
1,8,5,5,0.261211063
0,8,3,5,0.273853193
1,6,5,6,-0.686948666
0,6,4,6,0.261211063
0,6,-5,7,-1.167349596
-1,4,2,7,-0.219189866
2,7,6,6,0.021010598
2,8,7,6,0.678401344
1,6,4,6,0.311779582
1,6,1,5,0.198000414
1,5,1,5,-0.206547737
1,7,1,7,0.084221247
0,3,2,7,1.247297182
0,6,5,5,-0.155979218
2,5,6,5,-0.97771765
1,6,3,5,-1.736245434
0,7,3,5,-0.788085704
1,7,4,5,0.42555875
0,8,4,5,0.122147636
0,7,2,5,-0.244474126
0,5,1,0,-0.762801445
1,3,3,-1,-0.838654223
1,7,6,6,-2.128151455
1,6,5,6,-0.53524311
1,7,5,5,-1.369623671
3,4,6,5,-1.799456082
1,8,6,6,0.223284674
1,8,6,5,0.577264306
1,9,5,6,-0.004273661
0,6,3,1,0.084221247
1,6,6,6,-1.698319044
0,6,2,6,-1.710961174
1,6,3,6,-1.255844504
1,4,7,5,-0.092768569
0,8,5,6,-1.142065336
0,9,3,6,-1.217918115
0,5,3,5,-1.483402839
0,6,4,5,-0.939791261
0,8,5,5,1.082949495
0,8,6,6,0.223284674
0,8,4,6,0.463485139
0,5,4,-1,1.77826663
0,6,3,0,0.981812457
-1,3,2,6,-1.091496818
0,3,3,7,0.85539116
1,2,4,6,-0.636380147
1,6,6,6,-1.761529693
1,6,6,6,-1.028286169
1,6,5,7,-1.230560244
1,7,15,8,-0.257116256
2,6,7,6,-2.039656547
2,6,5,6,-0.459390331
2,6,4,5,-0.345611164
2,5,5,6,-1.003001909
2,8,4,6,-1.192633855
5,4,5,6,-0.598453758
4,3,5,6,-1.255844504
4,4,5,6,-0.927149131
5,4,6,6,-0.257116256
5,5,5,6,-0.459390331
4,6,5,6,-1.306413023
4,6,6,6,-1.028286169
3,7,7,6,-1.319055153
2,6,5,6,-1.205275985
2,5,6,6,-1.129423207
3,4,6,5,-0.788085704
2,7,6,7,0.071579117
2,7,5,6,-0.939791261
2,7,5,6,-0.952433391
1,6,5,7,-0.49731672
1,8,6,7,-0.004273661
1,6,4,7,-0.06748431
3,5,5,6,-0.547885239
2,5,5,6,-0.750159315
3,5,6,6,0.084221247
2,5,7,6,-0.661664407
2,7,4,7,-0.636380147
2,7,5,6,-1.217918115
3,7,5,6,-0.686948666
1,6,6,6,-0.383537553
1,6,4,7,-1.040928299
3,6,7,6,-0.257116256
3,6,6,6,-0.282400515
4,4,6,6,-1.091496818
5,5,7,6,-0.573169499
3,7,6,6,-0.96507552
2,8,4,6,-0.257116256
2,7,6,8,0.223284674
2,7,7,6,-0.06748431
2,7,7,6,-1.167349596
2,6,6,7,0.147431896
2,6,5,2,-0.876580612
2,4,7,7,-1.584539877
2,2,5,6,0.084221247
1,2,5,7,-0.396179683
1,4,6,7,0.160074025
1,6,6,7,0.476127268
2,6,7,7,0.615190695
2,7,5,7,-0.269758385
2,7,6,0,-0.358253293
3,7,6,2,1.108233755
3,6,6,6,1.184086533
3,6,5,7,-0.282400515
3,6,6,7,-1.306413023
3,4,7,7,-0.472032461
3,7,5,7,-1.496044969
3,8,6,6,-0.484674591
2,2,6,7,-1.496044969
2,5,7,7,-0.459390331
3,7,6,8,-1.255844504
2,7,1,2,1.196728663
3,7,4,6,-0.282400515
3,6,7,6,-0.004273661
3,5,7,6,-1.167349596
3,4,4,6,-0.674306537
3,5,6,6,-1.142065336
2,6,6,5,0.033652728
2,3,5,5,-0.383537553
2,2,6,5,0.349705971
3,6,5,6,-0.244474126
3,7,7,6,-1.42019219
3,7,6,6,-0.96507552
3,7,7,5,-1.647750525
2,4,6,6,1.108233755
3,4,6,6,-0.737517185
1,1,5,4,-0.927149131
1,2,6,5,-0.52260098
3,5,5,5,-0.547885239
2,5,3,5,-0.750159315
2,5,4,5,-0.99035978
3,5,6,5,-1.761529693
2,7,4,5,-1.129423207
2,7,5,5,-1.091496818
2,7,3,4,-1.496044969
2,6,6,4,-0.826012093
3,5,5,5,-0.282400515
2,5,2,4,-0.813369964
3,6,6,5,-1.104138947
2,6,5,5,-0.762801445
1,7,5,4,-1.356981542
2,7,6,4,-0.446748202
2,6,6,4,-0.434106072
2,4,7,6,-0.219189866
2,7,5,5,0.299137452
2,5,7,5,0.071579117
2,7,6,4,-0.788085704
2,7,6,4,-0.661664407
2,5,13,4,0.021010598
2,5,9,2,-1.736245434
3,6,6,5,-0.737517185
2,5,3,4,-1.344339412
2,6,4,4,-1.028286169
3,6,6,5,1.626561073
3,8,6,6,1.272581441
2,8,5,5,-0.130694958
2,7,6,5,0.703685603
1,5,6,5,0.261211063
2,6,4,5,-0.585811628
2,5,5,6,-0.181263477
2,2,6,4,-0.307684775
2,2,7,4,-0.712232926
0,-1,6,1,-1.015644039
0,-1,6,2,-0.788085704
4,6,7,6,-0.750159315
3,6,5,5,-1.91323525
2,5,5,5,-1.179991726
2,7,4,5,0.198000414
2,6,6,7,0.172716155
2,7,5,7,1.032380976
2,8,4,7,-1.622466266
2,7,3,7,-1.496044969
2,7,3,7,-1.533971358
2,7,6,8,-1.205275985
2,5,6,5,-2.090225066
2,7,7,6,-0.49731672
2,7,6,5,0.160074025
2,8,5,5,0.337063841
2,7,5,5,-1.90059312
2,7,3,5,-1.306413023
2,7,3,5,-1.736245434
2,7,5,6,-0.674306537
1,3,6,5,0.071579117
2,7,6,5,-0.206547737
2,7,7,5,-0.674306537
2,7,7,5,-1.078854688
4,6,9,5,-1.483402839
4,5,6,6,-0.206547737
2,6,6,5,0.830106901
2,6,5,5,0.147431896
2,7,5,5,-1.609824136
3,6,6,5,-1.369623671
4,5,7,6,-1.394907931
3,6,6,6,-0.421463942
3,4,26,5,0.741611993
3,6,5,5,-0.585811628
3,5,6,4,-0.52260098
2,4,4,4,-0.459390331
3,4,6,3,0.994454587
3,7,7,4,-1.040928299
3,6,5,4,-0.49731672
3,5,5,4,-0.585811628
3,5,6,5,0.766896252
2,6,4,5,0.210642544
2,6,4,4,0.741611993
2,8,6,9,-0.244474126
3,4,6,5,-0.05484218
3,4,4,4,-0.97771765
3,4,6,4,-0.219189866
2,6,5,3,0.84274903
2,7,1,4,0.539337917
3,6,5,4,0.830106901
2,5,6,9,0.463485139
3,5,7,4,0.172716155
3,5,5,4,-0.585811628
3,4,6,4,-0.421463942
5,5,7,4,1.171444403
5,5,7,4,1.259939311
5,4,5,4,-0.49731672
4,3,6,4,-0.788085704
5,3,7,4,-1.066212558
5,5,7,4,0.766896252
5,5,7,4,1.892045798
4,6,5,3,0.311779582
5,4,7,4,-0.06748431
4,4,5,4,-0.004273661
4,4,5,4,1.171444403
4,4,6,4,-0.636380147
5,6,5,3,-0.155979218
4,4,5,5,1.209370793
4,4,5,5,0.905959679
4,3,6,5,0.994454587
4,3,6,8,0.248568933
4,3,7,9,-0.547885239
4,3,6,6,0.589906436
5,3,7,6,0.033652728
4,3,5,7,-0.092768569
3,2,6,9,0.691043474
5,4,6,5,0.488769398
4,4,5,5,2.296593949
4,4,6,5,0.539337917
4,4,5,5,0.210642544
4,3,3,5,-0.97771765
4,3,6,7,-0.724875055
5,5,6,6,1.639203203
4,5,6,5,0.526695787
4,5,5,5,1.297865701
4,3,4,4,-0.029557921
5,3,5,4,0.185358285
5,3,6,5,0.665759214
5,5,6,6,0.893317549
5,5,6,6,0.488769398
4,5,5,5,-0.231831996
4,4,4,5,-0.50995885
4,4,5,6,-1.394907931
4,4,5,5,-0.396179683
4,3,7,9,-0.219189866
2,2,6,4,-0.307684775
2,6,5,3,0.084221247
5,5,7,7,0.109505506
4,5,6,6,-0.370895423
4,5,6,6,-0.939791261
4,2,6,5,-1.331697282
4,5,5,6,-1.344339412
4,3,5,6,-1.483402839
4,3,6,6,0.564622177
4,4,7,6,-0.04220005
4,5,5,6,0.033652728
4,5,7,9,-2.039656547
4,3,6,9,-1.546613488
4,5,7,9,-0.901864872
5,3,6,5,-1.44547645
4,3,5,5,-0.585811628
4,3,6,5,-1.053570428
4,3,6,5,0.84274903
4,5,7,6,0.147431896
5,4,5,6,0.160074025
4,3,6,5,-0.50995885
4,3,5,5,0.109505506
4,3,5,5,-0.623738018
4,6,7,6,0.741611993
4,5,6,6,1.120875884
4,5,5,6,0.85539116
5,3,6,6,-2.064940806
4,3,6,6,-1.205275985
5,2,6,5,-1.571897747
4,4,5,5,0.615190695
4,5,5,4,0.564622177
5,5,5,5,1.386360609
5,3,6,5,-0.257116256
4,3,5,5,-1.723603304
4,3,6,5,-1.521329228
4,4,6,5,-1.281128763
5,4,6,6,1.120875884
4,4,6,5,0.286495323
4,5,5,6,0.804822641
4,3,6,6,0.261211063
4,3,5,4,-0.168621348
4,3,5,6,-0.712232926
4,2,6,8,-0.244474126
5,3,5,6,0.615190695
4,3,5,6,-1.976445898
4,3,3,5,-1.90059312
5,3,6,6,-1.344339412
4,3,6,9,0.665759214
5,4,6,5,0.539337917
4,4,4,6,0.779538382
4,4,5,6,0.514053658
5,3,5,6,-0.206547737
4,3,5,5,-0.307684775
5,4,7,5,0.021010598
4,5,4,5,-0.434106072
4,6,5,6,0.008368469
4,4,6,6,-1.053570428
4,3,4,6,-1.87530886
4,4,6,6,-0.939791261
5,3,5,5,0.488769398
5,4,6,6,0.210642544
4,4,6,6,0.324421712
4,4,5,5,-0.737517185
4,4,6,5,-0.383537553
5,6,6,5,-0.472032461
5,5,6,5,0.501411528
5,6,5,5,-0.484674591
4,4,3,4,0.691043474
4,2,5,5,-1.293770893
5,3,6,5,-1.43283432
5,5,6,5,-0.97771765
5,6,7,5,-1.078854688
6,6,6,4,-0.560527369
5,4,6,5,0.235926804
5,4,6,4,-0.762801445
6,5,8,5,0.185358285
5,5,6,5,-1.521329228
5,6,5,6,-0.712232926
5,3,5,5,-0.573169499
5,4,6,6,-0.914507001
5,5,5,5,-0.889222742
5,3,6,5,-1.319055153
5,5,5,6,-0.762801445
5,5,5,6,-1.028286169
5,5,5,3,-1.356981542
3,-1,6,5,-1.028286169
5,1,7,4,-0.901864872
5,3,5,5,-1.028286169
5,3,6,5,-1.925877379
5,6,7,5,-1.104138947
5,6,6,5,-1.571897747
5,5,5,6,-0.459390331
5,6,5,6,-0.661664407
5,6,5,6,-1.761529693
5,5,6,6,-1.44547645
5,4,6,6,-1.660392655
6,5,5,5,-0.699590796
5,6,6,4,-0.649022277
6,2,6,4,-1.470760709
6,3,6,4,-1.723603304
6,3,6,4,-0.762801445
5,5,5,5,-0.421463942
6,5,5,5,-0.96507552
5,5,7,5,-1.786813952
6,2,7,5,-1.028286169
5,4,6,5,0.198000414
6,4,7,5,-0.459390331
6,3,7,5,-0.674306537
5,3,6,5,-0.939791261
6,3,5,4,-0.712232926
6,5,5,6,-1.925877379
6,3,6,5,-2.545341736
6,3,7,5,-0.724875055
5,3,3,4,-1.230560244
5,4,5,5,-1.584539877
5,4,6,5,-1.786813952
5,5,5,5,-0.686948666
5,7,5,5,-2.305141271
5,5,7,3,-0.851296353
3,2,6,4,-1.850024601
6,4,7,3,-1.394907931
6,3,8,4,-1.116781077
6,6,5,5,-0.231831996
6,6,5,4,-0.927149131
6,6,6,2,-0.800727834
7,5,6,8,-1.91323525
6,6,6,9,0.223284674
6,6,7,4,-1.723603304
6,5,7,10,-2.545341736
6,6,6,9,-0.800727834
5,5,6,9,0.160074025
6,5,6,9,-1.331697282
6,3,8,4,-1.356981542
5,4,7,5,-1.154707466
5,4,6,4,-0.939791261
6,5,4,5,-0.472032461
6,3,6,4,-1.015644039
5,3,5,5,-0.244474126
4,4,5,4,-1.091496818
6,4,4,4,-1.040928299
5,3,5,3,-1.521329228
6,4,6,4,-0.598453758
6,4,5,4,-0.99035978
6,4,5,4,-0.762801445
5,4,5,4,-0.573169499
6,7,6,5,-0.257116256
7,3,7,4,-0.901864872
6,3,6,4,-0.446748202
6,3,6,4,-0.674306537
3,3,5,3,-1.179991726
6,5,6,3,0.526695787
6,3,6,3,0.501411528
6,5,6,4,0.324421712
6,0,5,4,-0.130694958
6,0,5,3,-0.484674591
6,0,6,3,-0.573169499
6,4,5,3,0.273853193
7,5,5,3,0.678401344
6,4,6,2,0.172716155
6,4,7,4,-0.724875055
6,1,6,4,0.058936987
7,6,5,3,0.008368469
7,5,5,4,-1.129423207
6,5,4,3,-0.421463942
7,-4,6,1,-1.609824136
7,-5,6,2,0.071579117
7,-1,6,3,-1.736245434
7,3,5,3,0.551980047
7,-1,5,2,-0.029557921
6,-1,5,2,-0.889222742
8,5,5,3,-1.306413023
8,4,5,3,-0.016915791
7,6,5,3,-0.244474126
7,4,7,3,-1.028286169
8,6,6,5,-1.230560244
7,4,6,6,-1.217918115
7,-3,6,3,-0.838654223
6,-1,5,3,0.008368469
6,-1,5,4,-1.356981542
7,5,6,4,0.577264306
7,5,6,4,-0.52260098
7,4,6,6,-0.396179683
5,5,5,2,-1.230560244
7,-2,6,3,0.160074025
7,-2,5,5,0.602548566
7,5,7,5,-1.015644039
7,4,5,5,-1.559255617
7,5,7,7,-0.459390331
7,5,6,5,0.893317549
7,3,5,5,0.918601809
6,4,4,5,0.994454587
7,7,4,5,-0.939791261
7,6,5,5,1.904687927
7,6,7,4,0.096863377
7,4,6,5,0.374990231
7,3,6,5,0.349705971
7,3,5,4,-0.699590796
7,3,5,3,-1.179991726
7,4,7,3,0.526695787
7,5,5,4,0.918601809
7,5,5,4,0.678401344
7,6,6,5,0.615190695
7,3,6,4,-0.231831996
7,5,4,4,0.539337917
6,3,5,5,0.071579117
6,2,6,5,0.058936987
7,2,5,3,-0.269758385
7,6,6,4,-0.118052829
7,4,4,4,-0.092768569
7,4,6,5,0.058936987
7,3,6,5,0.40027449
7,2,6,5,-1.369623671
7,-4,7,2,-1.028286169
6,-3,6,3,-1.382265801
6,0,6,3,-0.927149131
7,5,5,4,-0.788085704
8,6,7,7,-0.775443574
8,5,6,7,-0.547885239
7,0,6,6,-0.661664407
7,0,7,3,-0.016915791
7,2,5,2,-0.383537553
7,1,5,2,-0.193905607
7,4,5,3,-0.181263477
7,4,5,3,0.273853193
7,0,7,2,0.41291662
7,1,6,2,1.33579209
7,2,6,4,-0.914507001
7,5,5,4,1.019738847
7,5,5,5,-0.573169499
7,0,7,2,0.084221247
7,0,6,2,-0.231831996
8,1,6,5,-0.649022277
8,6,5,4,-0.434106072
7,5,6,3,-0.307684775
7,4,5,4,-0.762801445
7,4,5,4,-1.066212558
7,6,5,4,-0.99035978
7,0,5,4,-1.344339412
7,1,6,4,-1.635108396
6,1,7,4,-1.369623671
7,4,6,8,-1.255844504
8,4,6,5,-1.078854688
8,1,5,3,-0.484674591
8,2,6,4,-0.674306537
8,1,6,7,-0.244474126
7,4,6,4,0.286495323
7,5,6,4,0.691043474
7,1,6,4,0.286495323
7,5,7,5,-0.257116256
7,4,6,4,0.096863377
7,5,8,4,-0.092768569
7,4,7,4,-0.05484218
7,5,6,3,-0.206547737
7,4,5,5,0.88067542
8,6,7,4,-0.155979218
7,5,6,4,-1.394907931
7,5,3,2,-0.408821812
6,0,6,5,-1.255844504
7,1,5,3,-0.383537553
8,4,5,3,-0.06748431
8,5,5,3,0.046294858
8,5,5,0,-0.105410699
7,4,6,6,-0.257116256
8,4,6,5,-0.130694958
8,1,10,1,0.071579117
8,2,2,1,0.210642544
8,1,6,1,0.084221247
8,2,6,2,1.33579209
9,5,9,5,0.41291662
10,4,4,5,-0.889222742
9,3,3,5,0.096863377
9,3,3,6,0.463485139
9,4,6,4,-0.383537553
9,3,12,0,0.640474955
8,4,5,1,0.728969863
8,3,5,2,1.424286998
8,3,9,2,1.361076349
9,4,13,1,0.602548566
9,6,5,1,0.551980047
9,6,7,6,1.399002738
9,6,8,3,-0.181263477
8,5,3,3,-0.446748202
9,5,8,3,0.931243939
8,2,2,7,0.627832825
8,4,3,7,0.551980047
9,4,7,7,0.551980047
9,4,5,7,-0.105410699
8,8,2,3,0.84274903
7,2,5,5,0.42555875
8,6,4,8,-0.105410699
8,4,5,7,-0.52260098
8,3,6,5,-0.408821812
8,4,5,4,-0.939791261
8,8,5,4,-0.851296353
7,4,6,5,-0.876580612
7,0,7,5,-1.609824136
8,6,5,6,0.362348101
7,6,4,6,0.501411528
7,5,5,6,0.691043474
7,5,12,7,-0.269758385
8,4,7,3,0.40027449
7,3,6,3,0.766896252
7,5,6,3,0.893317549
8,2,6,3,-0.762801445
8,4,6,3,-0.193905607
7,3,7,6,-0.49731672
8,4,4,4,-0.408821812
7,4,5,4,0.514053658
7,5,5,4,0.008368469
7,5,4,4,-0.004273661
8,8,5,4,-0.320326904
8,3,4,3,-0.06748431
8,3,4,1,-0.396179683
8,5,-1,2,0.374990231
7,6,4,3,-0.434106072
7,6,5,4,-0.370895423
7,4,6,0,-0.585811628
8,4,6,5,1.234655052
7,5,5,4,0.374990231
7,5,6,4,0.450843009
8,4,7,2,-0.219189866
8,3,6,2,-0.547885239
8,4,6,3,-0.914507001
7,4,5,3,1.146160144
7,4,7,3,0.147431896
8,5,7,2,0.349705971
8,5,3,2,0.40027449
7,5,4,2,-0.332969034
8,6,4,2,1.601276814
8,4,6,3,0.248568933
8,5,-9,2,-0.06748431
8,5,4,2,-0.49731672
7,4,4,3,0.109505506
7,4,4,0,0.905959679
8,5,7,2,-0.370895423
8,6,6,2,-0.295042645
8,6,6,6,-0.080126439
8,7,6,4,0.691043474
7,5,5,3,-0.459390331
8,6,6,4,0.42555875
7,4,4,3,0.514053658
8,5,4,3,1.664487463
7,5,4,3,0.438200879
8,2,5,5,-0.05484218
8,2,5,2,-0.029557921
8,2,7,4,-0.092768569
8,0,6,5,-0.269758385
8,5,6,3,-0.50995885
8,6,6,3,1.032380976
8,6,6,6,-0.231831996
8,4,6,3,-0.092768569
8,3,6,2,0.526695787
7,5,5,2,0.602548566
7,5,4,2,0.640474955
8,5,7,3,0.488769398
7,3,7,2,0.160074025
7,4,4,6,0.817464771
7,5,6,5,-0.295042645
8,5,6,3,1.512781906
7,5,6,2,1.955256446
7,4,5,2,1.588634684
7,4,6,3,1.651845333
7,5,5,3,0.476127268
8,3,6,4,1.373718479
7,6,6,5,0.830106901
6,1,6,4,0.41291662
6,4,6,2,0.058936987
7,6,7,3,1.500139776
7,6,3,3,-0.105410699
7,6,7,3,-0.193905607
7,5,7,2,1.436929128
7,5,6,2,0.893317549
7,5,6,2,0.577264306
7,4,7,2,-0.04220005
7,4,6,2,-0.358253293
8,6,6,3,0.438200879
8,5,1,5,0.526695787
8,6,4,5,0.235926804
8,4,6,5,0.602548566
8,3,5,5,0.450843009
8,5,6,5,0.046294858
8,5,6,5,-0.863938482
8,5,7,5,-0.547885239
8,4,7,5,0.476127268
7,3,6,5,0.42555875
6,3,6,5,0.589906436
7,8,5,6,1.942614317
7,5,6,6,0.792180512
7,4,6,5,0.86803329
7,6,5,1,1.715055981
7,5,7,4,0.299137452
6,5,4,4,-0.53524311
7,6,6,5,-1.230560244
7,9,4,6,1.538066165
7,6,7,6,1.563350425
6,5,6,4,1.993182835
7,4,4,5,1.411644868
7,4,5,5,-0.029557921
7,5,5,6,0.804822641
7,7,5,7,-0.155979218
7,5,5,7,2.549436543
7,6,6,6,0.766896252
7,5,6,5,0.488769398
7,6,1,5,0.210642544
7,6,4,5,0.261211063
7,8,6,6,-0.269758385
7,5,6,5,2.283951819
6,3,6,5,2.385088857
7,5,4,5,-0.446748202
8,6,5,6,-0.573169499
8,8,5,6,2.650573581
